Instituição;Cod.IBGE;UF;População;Indicador_1;Nota_1;Indicador_2;Nota_2;Indicador_3;Nota_3;Classificação da CAPAG
Prefeitura Municipal de Alcântaras - CE;2300507;CE;11529;0,175472525;A;0,980497197;C;1,652570035;C;C
Prefeitura Municipal de Alcantil - PB;2500536;PB;5473;0,080303739;A;0,967051007;C;1,337824482;C;C
Prefeitura Municipal de Alcinópolis - MS;5000252;MS;5268;;n.d.;0,871683283;A;;n.d.;n.d.
Prefeitura Municipal de Alcobaça - BA;2900801;BA;22449;0,198169999;A;0,76957766;A;10,72578317;C;C
Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;26302;0,165224792;A;0,886960497;A;3,701872382;C;C
Prefeitura Municipal de Alecrim - RS;4300307;RS;6077;0,012207998;A;0,976594298;C;0,189796798;A;C
Prefeitura Municipal de Alegre - ES;3200201;ES;30568;0,254728211;A;1,140069593;C;0,663720039;A;C
Prefeitura Municipal de Alegrete - RS;4300406;RS;74173;0,08060594;A;0,845509939;A;0,344646208;A;A
Prefeitura Municipal de Alegrete do Piauí - PI;2200277;PI;4912;;n.d.;0,902239305;B;28,97357248;C;n.d.
Prefeitura Municipal de Alegria - RS;4300455;RS;3559;0,005988844;A;0,850126054;A;0,147926607;A;A
Prefeitura Municipal de Além Paraíba - MG;3101508;MG;35321;0,01232044;A;0,889431173;A;0,764650957;A;A
Prefeitura Municipal de Alenquer - PA;1500404;PA;56480;0,033810019;A;0,921139592;B;;n.d.;n.d.
Prefeitura Municipal de Alexandria - RN;2400505;RN;13602;0,056940993;A;0,961964271;C;0,134505593;A;C
Prefeitura Municipal de Alexânia - GO;5200308;GO;27288;0,166337751;A;0,960864889;C;-1,559308122;C;C
Prefeitura Municipal de Alfenas - MG;3101607;MG;79481;0,157321421;A;1,009190071;C;1,274756209;C;C
Prefeitura Municipal de Alfredo Chaves - ES;3200300;ES;14566;0,040059552;A;0,942399698;B;0,146250549;A;B
Prefeitura Municipal de Alfredo Marcondes - SP;3500808;SP;4147;;n.d.;0,98139028;C;0,200561309;A;n.d.
Prefeitura Municipal de Alfredo Vasconcelos - MG;3101631;MG;6831;;n.d.;0,929167671;B;0,513590583;A;n.d.
Prefeitura Municipal de Alfredo Wagner - SC;4200705;SC;9984;0,05044897;A;0,968958871;C;0,012718654;A;C
Prefeitura Municipal de Algodão de Jandaíra - PB;2500577;PB;2488;0,055557087;A;;n.d.;1,831297683;C;n.d.
Prefeitura Municipal de Alhandra - PB;2500601;PB;;;n.d.;;n.d.;0,945715681;A;n.d.
Prefeitura Municipal de Aliança - PE;2600708;PE;38375;0,685507294;B;1,006980612;C;6,374998069;C;C
Prefeitura Municipal de Aliança do Tocantins - TO;1700350;TO;5434;0,08991743;A;0,938930221;B;0,350860654;A;B
Prefeitura Municipal de Almadina - BA;2900900;BA;5566;0,52838735;A;0,946377901;B;;n.d.;n.d.
Prefeitura Municipal de Almas - TO;1700400;TO;7131;0,784154336;B;0,949739835;B;2,290878295;C;C
Prefeitura Municipal de Almeirim - PA;1500503;PA;34142;;n.d.;0,992405351;C;;n.d.;n.d.
Prefeitura Municipal de Almenara - MG;3101706;MG;41642;0,524154817;A;0,941146154;B;;n.d.;n.d.
Prefeitura Municipal de Almino Afonso - RN;2400604;RN;4761;;n.d.;0,9456616;B;0,264670325;A;n.d.
Prefeitura Municipal de Almirante Tamandaré - PR;4100400;PR;117168;0,478703914;A;0,841209766;A;0,472539879;A;A
Prefeitura Municipal de Almirante Tamandaré do Sul - RS;4300471;RS;1979;0,062286651;A;0,857717245;A;0,004965302;A;A
Prefeitura Municipal de Aloândia - GO;5200506;GO;2005;0,009460609;A;0,912761959;B;1,799798591;C;C
Prefeitura Municipal de Alpercata - MG;3101805;MG;;;n.d.;0,985996087;C;14,62559055;C;n.d.
Prefeitura Municipal de Alpestre - RS;4300505;RS;6458;;n.d.;0,714030873;A;;n.d.;n.d.
Prefeitura Municipal de Alpinópolis - MG;3101904;MG;19745;0,026288513;A;0,934360248;B;;n.d.;n.d.
Prefeitura Municipal de Alta Floresta - MT;5100250;MT;51615;0,328297428;A;0,826238456;A;;n.d.;n.d.
Prefeitura Municipal de Alta Floresta D'Oeste - RO;1100015;RO;23167;0,033750683;A;0,911792959;B;;n.d.;n.d.
Prefeitura Municipal de Altair - SP;3500907;SP;4134;0,205891531;A;0,873306483;A;0;n.d.;n.d.
Prefeitura Municipal de Altamira - PA;1500602;PA;113195;7,06371E-05;A;;n.d.;;n.d.;n.d.
Prefeitura Municipal de Altamira do Maranhão - MA;2100402;MA;8066;;n.d.;1,484890394;C;1,147450144;C;n.d.
Prefeitura Municipal de Altamira do Paraná - PR;4100459;PR;2209;0,367596559;A;0,975054932;C;0,101023362;A;C
Prefeitura Municipal de Altaneira - CE;2300606;CE;7521;0,282762856;A;0,910882221;B;;n.d.;n.d.
Prefeitura Municipal de Alterosa - MG;3102001;MG;14414;0,013742567;A;0,94154636;B;0,00773319;A;B
